filename,label,ракурс,ракурс_сторона,видимый_глаз,yaw,pitch,roll,aperture_shrinkage,eyelid_thickness,lid_smoothness,eyelid_edge_sharpness,eye_symmetry_anomaly,sclera_iris_boundary,pupil_apparent_size,orbit_area_ratio,periocular_lbp_entropy,eyelid_sss,iris_visible_ratio,iris_center_offset,sclera_asymmetry,landmark_discrepancy,specular_brdf,eye_contour_divergence,subsurface_violation,ear_texture_cliff,skin_tone_mismatch,combined_mean,combined_median,combined_max,eye_mean,cross_mean,zero_count,saturated_count,high_anomaly,metrics_active,natural_flag
1998_01_01.jpg,real,light,R,both,15.451873,-18.245218,0.69566,0.711628,0.65,0.337205,0.634112,1.0,0.364583,0.109035,0.0,0.296068,0.743926,0.0,0.589795,0.0,0.69436,0.004809,0.387331,0.333333,0.0,0.584246,0.391602,0.364583,1.0,0.418181,0.334013,4,1,3,15,NATURAL
1999_01_11.jpg,real,deep,R,both,45.084068,-20.292801,-13.627562,0.675579,0.45,0.0,1.0,0.0,0.0,0.0,0.059185,0.0,0.0,0.0,0.350794,1.0,1.0,0.372072,0.215002,0.198781,0.0,0.0,0.280074,0.059185,1.0,0.271966,0.297642,9,3,3,10,NATURAL
1999_07_01.jpg,real,frontal,C,both,0.0,0.0,0.0,0.872642,0.35,0.0,0.520769,1.0,0.229167,0.227675,0.0,0.0,0.0,0.0,0.410667,0.0,0.777571,0.381269,0.426921,0.200822,0.302592,0.196055,0.310324,0.229167,1.0,0.277763,0.380872,6,1,3,13,NATURAL
1999_08_12 (2).jpg,real,frontal,C,both,0.0,0.0,0.0,0.873682,0.45,0.0,0.553303,0.857447,0.0,0.576307,0.0,0.0,0.0,0.18153,0.370409,1.0,0.774458,0.576681,0.56625,0.093892,0.861052,0.850876,0.451889,0.553303,1.0,0.374052,0.620535,5,1,6,14,UNNATURAL
1999_08_12.jpg,real,frontal,C,both,0.0,0.0,0.0,0.88743,0.5,0.0,0.726826,1.0,0.0,0.084388,0.0,0.0,0.0,0.0,0.914812,0.0,0.563078,0.535802,0.25415,0.351657,0.0,0.0,0.306218,0.084388,1.0,0.31642,0.284114,9,1,4,10,UNNATURAL
1999_08_16(2).jpg,real,frontal,C,both,0.0,0.0,0.0,0.670261,0.3,0.0,1.0,0.538144,0.0,0.301026,0.0,0.215061,0.0,0.0,0.268285,1.0,0.742081,0.67817,0.259224,0.080286,0.474254,0.709404,0.380852,0.3,1.0,0.330214,0.49057,5,2,4,14,UNNATURAL
1999_08_16.jpg,real,mid,L,both,-44.842579,-28.458876,24.860031,0.686201,0.5,0.0,0.59111,0.0,1.0,1.0,0.175765,0.490194,0.535227,0.631496,0.0,1.0,0.11654,0.112838,0.271951,0.495316,0.0,0.0,0.400349,0.490194,1.0,0.508461,0.166107,5,3,3,14,NATURAL
1999_09_01(2).jpg,real,light,L,both,-22.618885,-15.111088,7.471615,0.738855,0.8,0.149789,0.936075,1.0,0.0,0.623519,0.0,0.0,0.0,0.0,0.008868,0.244445,0.833711,0.25644,0.511361,0.201281,0.0,0.475495,0.356834,0.244445,1.0,0.346273,0.379715,6,1,5,13,UNNATURAL
1999_09_01.jpg,real,light,L,both,-7.105458,-7.509142,-0.287263,0.844664,1.0,1.0,1.0,1.0,0.0,0.234331,0.0,1.0,0.0,0.0,0.549655,0.389721,0.937805,0.402264,0.583141,0.193644,0.0,0.834026,0.524697,0.549655,1.0,0.539875,0.491813,5,5,8,14,UNNATURAL
1999_09_08.jpg,real,mid,R,both,26.234934,-17.233469,-5.21134,0.656664,1.0,1.0,1.0,1.0,1.0,0.263363,0.0,1.0,0.0,0.212537,0.193678,0.979514,0.847689,0.608901,0.648183,0.325822,0.906079,0.765601,0.653054,0.765601,1.0,0.638904,0.683712,2,6,10,17,UNNATURAL
1999_10_19.jpg,real,frontal,C,both,0.0,0.0,0.0,0.916187,0.4,0.0,0.358603,0.84584,1.0,1.0,0.0,0.0,0.11471,0.355971,0.487961,1.0,0.787731,0.197306,0.58471,0.325611,0.824807,0.607152,0.516136,0.487961,1.0,0.498406,0.554553,3,3,7,16,UNNATURAL
1999_10_23.jpg,real,frontal,C,both,0.0,0.0,0.0,0.779317,0.45,0.0,0.45125,1.0,1.0,0.252643,0.0,0.0,0.669029,0.0,0.468624,1.0,0.742177,0.389019,0.565665,0.333333,0.127236,0.0,0.433068,0.45,1.0,0.466989,0.359572,5,3,5,14,UNNATURAL
1999_11_01 (2).jpg,real,mid,R,both,44.897213,-19.560114,-14.568142,0.659969,0.55,0.0,1.0,0.456857,0.677084,0.0,0.085172,0.80013,0.0,0.0,0.468667,1.0,0.884838,0.296099,0.086198,0.093428,0.0,0.0,0.371497,0.296099,1.0,0.438298,0.226761,6,2,4,13,UNNATURAL
1999_11_01.jpg,real,light,R,both,22.690695,-7.430668,-2.430189,0.870494,1.0,0.879416,0.972462,1.0,1.0,0.00661,0.0,0.863817,0.0,0.0,0.75455,1.0,0.875318,0.999934,0.388353,0.0,0.701385,0.668628,0.630577,0.863817,1.0,0.642104,0.605603,4,5,12,15,UNNATURAL
1999_11_29.jpg,real,light,L,both,-7.211554,-17.175114,2.360031,0.804101,0.65,0.0,1.0,1.0,0.0,0.351293,0.0,0.600036,0.0,0.0,0.073407,0.498229,0.736877,0.281646,0.662102,0.298872,0.464559,0.791368,0.432236,0.464559,1.0,0.382851,0.539237,5,2,5,14,UNNATURAL
1999_12_01 (2).jpg,real,deep,R,both,57.536293,-21.920769,-19.199429,0.481651,0.35,0.661466,1.0,0.0,1.0,1.0,0.895408,1.0,0.0,0.062289,0.355169,1.0,0.575696,0.378628,0.0,0.333333,0.0,0.0,0.478613,0.378628,1.0,0.60046,0.214609,5,5,6,14,UNNATURAL
2000_01_01.jpg,real,frontal,C,both,0.0,0.0,0.0,0.750261,0.55,0.0,1.0,1.0,0.0,0.33826,0.0,0.299622,0.701512,0.0,0.0,0.0,0.862974,0.216382,0.49106,0.744823,0.101186,0.590509,0.402452,0.33826,1.0,0.356897,0.501156,6,2,6,13,UNNATURAL
2000_02_23(2).jpg,real,deep,R,both,58.285641,-37.170555,-36.035789,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.315789,0.0,1.0,0.230769,0.5,13,6,6,6,UNNATURAL
2000_02_23.jpg,real,frontal,C,both,0.0,0.0,0.0,0.617791,0.25,0.0,0.85985,0.0,1.0,1.0,1.0,0.636592,0.861313,1.0,1.0,1.0,0.656953,0.267434,0.380822,0.455293,0.716818,0.089592,0.620656,0.656953,1.0,0.709657,0.427819,2,6,9,17,UNNATURAL
2000_02_26.jpg,real,mid,L,both,-30.945522,-16.005522,25.025681,0.792702,0.7,0.786956,1.0,0.0,0.0,0.69127,0.0,1.0,0.0,0.97147,0.500511,1.0,0.624971,0.504716,0.511826,0.333333,0.0,0.946176,0.54547,0.624971,1.0,0.572531,0.486837,5,3,7,14,UNNATURAL
2000_03_17.jpg,real,light,L,both,-22.567535,-25.261877,10.171187,0.795627,0.65,1.0,1.0,0.834554,1.0,1.0,0.0,1.0,0.0,0.233112,0.0,1.0,0.682698,0.212821,0.559137,0.061061,0.0,0.0,0.527843,0.65,1.0,0.654869,0.252619,5,6,8,14,UNNATURAL
2000_03_25.jpg,real,frontal,C,both,0.0,0.0,0.0,0.860442,0.65,0.0,0.91944,1.0,0.0,0.567951,0.0,0.0,0.000467,0.0,0.071367,0.165819,0.989498,0.386188,0.688123,0.260122,0.155863,0.771916,0.394063,0.260122,1.0,0.325807,0.541952,5,1,5,14,UNNATURAL
2000_04_17.jpg,real,light,L,both,-6.278841,-10.851089,4.602273,0.821803,0.55,0.0,0.476017,0.821334,0.4375,0.867871,0.0,0.258443,0.0,0.0,0.310794,1.0,0.777076,0.255188,0.58977,0.322419,0.855287,0.792373,0.480836,0.476017,1.0,0.426443,0.598686,4,1,7,15,UNNATURAL
2000_04_24(2).jpg,real,light,L,both,-20.659239,-3.913318,4.192169,0.84312,0.6,0.505343,1.0,0.787596,0.375,0.585655,0.0,1.0,1.0,0.037282,0.579735,0.375484,0.813426,0.0,0.587589,0.606903,0.0,0.726148,0.548594,0.587589,1.0,0.591478,0.455678,3,3,7,16,UNNATURAL
2000_05_01 (2).jpg,real,mid,L,both,-39.633068,-0.437677,5.929717,0.916855,0.7,0.0,0.478455,0.0,1.0,0.973032,0.106402,0.0,0.759066,0.0,0.940643,1.0,1.0,0.255857,0.207561,0.328461,0.0,0.108171,0.461816,0.328461,1.0,0.528804,0.316675,5,3,7,14,UNNATURAL
2000_05_01.jpg,real,frontal,C,both,0.0,0.0,0.0,0.938108,0.2,0.0,0.706097,0.56344,1.0,0.194646,0.0,0.081221,0.399075,0.0,1.0,0.553339,0.758568,0.415081,0.351151,0.354076,0.0,0.219856,0.407087,0.354076,1.0,0.433533,0.349789,4,2,5,15,UNNATURAL
2000_05_07(2).jpg,real,profile_skipped,,both,-70.542351,-5.658977,13.028716,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0,0,0,0,UNKNOWN
2000_05_08(2).jpg,real,frontal,C,both,0.0,0.0,0.0,0.852428,0.7,0.099819,0.589811,1.0,1.0,0.24656,0.0,0.791082,0.671108,0.0,0.725287,0.891086,0.746725,0.693423,0.373531,0.359371,0.61124,0.714653,0.582428,0.693423,1.0,0.582091,0.583157,2,2,8,17,UNNATURAL
2000_05_08(3).jpg,real,frontal,C,both,0.0,0.0,0.0,0.877671,0.85,0.46639,0.793887,1.0,0.854167,0.203569,0.0,1.0,1.0,0.0,0.932553,1.0,0.655965,0.999934,0.483655,0.354779,0.690655,0.85849,0.685353,0.85,1.0,0.690634,0.673913,2,5,11,17,UNNATURAL
2000_05_08(5).jpg,real,frontal,C,both,0.0,0.0,0.0,0.852592,0.55,0.0,1.0,1.0,1.0,0.340298,0.0,0.710989,0.703526,0.0,0.810389,0.249389,0.959434,0.596926,0.378439,0.410854,0.949611,0.932768,0.60238,0.703526,1.0,0.555168,0.704672,3,3,10,16,UNNATURAL
